Resume Preview,Java Developer_0,Java Developer_1,Java Developer_2,DevOps Engineer_3,DevOps Engineer_4,DevOps Engineer_5,Python Developer_6,Python Developer_7,Python Developer_8,Operations Manager_9,Operations Manager_10,Operations Manager_11,Network Security Engineer_12,Network Security Engineer_13,Network Security Engineer_14,Testing_15,Testing_16,Testing_17,Civil Engineer_18,Civil Engineer_19,Civil Engineer_20,Automation Testing_21,Automation Testing_22,Automation Testing_23,Business Analyst_24,Business Analyst_25,Business Analyst_26,Advocate_27,Advocate_28,Advocate_29,Blockchain_30,Blockchain_31,Blockchain_32,Mechanical Engineer_33,Mechanical Engineer_34,Mechanical Engineer_35,SAP Developer_36,SAP Developer_37,SAP Developer_38,Health and fitness_39,Health and fitness_40,Health and fitness_41,Sales_42,Sales_43,Sales_44,Database_45,Database_46,Database_47,Data Science_48,Data Science_49,Data Science_50,Electrical Engineering_51,Electrical Engineering_52,Electrical Engineering_53,Web Designing_54,Web Designing_55,Web Designing_56,DotNet Developer_57,DotNet Developer_58,DotNet Developer_59,Hadoop_60,Hadoop_61,Hadoop_62,PMO_63,PMO_64,PMO_65,HR_66,HR_67,HR_68,Arts_69,Arts_70,Arts_71,ETL Developer_72,ETL Developer_73,ETL Developer_74
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
"TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, T...",0.47,0.4058,0.5278,0.4046,0.3863,0.3505,0.5111,0.5726,0.6094,0.3953,0.3897,0.4293,0.3912,0.3943,0.4033,0.4141,0.3843,0.3993,0.3857,0.3814,0.3886,0.4162,0.3842,0.3901,0.3499,0.3453,0.3344,0.373,0.3586,0.3782,0.3944,0.3911,0.3984,0.4182,0.3884,0.3925,0.4108,0.3968,0.3919,0.3615,0.3526,0.3617,0.3889,0.3617,0.374,0.5007,0.4755,0.506,0.5072,0.4845,0.5115,0.4022,0.3812,0.4054,0.4328,0.414,0.4144,0.4441,0.4277,0.4197,0.4042,0.4014,0.3768,0.3862,0.3925,0.373,0.4366,0.4276,0.3885,0.3868,0.3594,0.3622,0.4291,0.4151,0.4156
"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, Mon...",0.4324,0.3793,0.439,0.4546,0.362,0.3494,0.5812,0.5461,0.5631,0.437,0.4376,0.4526,0.3788,0.3878,0.3906,0.4002,0.3801,0.3976,0.3863,0.3812,0.4002,0.4285,0.406,0.399,0.3524,0.3414,0.3268,0.3876,0.3993,0.4036,0.4064,0.4106,0.4258,0.427,0.4078,0.3969,0.3728,0.356,0.3713,0.3564,0.3559,0.3866,0.3886,0.3879,0.3935,0.463,0.4539,0.459,0.4439,0.4498,0.4492,0.4087,0.41,0.4302,0.4294,0.4426,0.4368,0.3965,0.385,0.3955,0.3526,0.3626,0.3383,0.4124,0.4225,0.4203,0.4515,0.4296,0.4272,0.3896,0.3786,0.3946,0.3528,0.3465,0.3603
"Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2...",0.3826,0.3641,0.4464,0.3354,0.3965,0.3143,0.2879,0.4184,0.3611,0.3898,0.4097,0.4053,0.4207,0.449,0.4356,0.4448,0.437,0.4256,0.3939,0.4072,0.408,0.4375,0.4251,0.4309,0.3636,0.3782,0.3642,0.4457,0.4359,0.4167,0.388,0.3886,0.3791,0.4504,0.4477,0.4656,0.4117,0.4367,0.3969,0.4495,0.4607,0.4336,0.4028,0.3911,0.385,0.3935,0.3891,0.395,0.4739,0.4503,0.4501,0.454,0.4377,0.4301,0.4058,0.4071,0.3767,0.4383,0.4555,0.4202,0.3314,0.3408,0.3025,0.4314,0.4409,0.3961,0.457,0.4655,0.4005,0.4732,0.4528,0.4316,0.408,0.4143,0.3746
"â¢ Operating Systems: Windows â¢ Others: MS Excel, MS Office, MS Power Point Key Projects Handled ...",0.5451,0.5354,0.5684,0.5008,0.4632,0.4157,0.5893,0.6056,0.66,0.5309,0.5359,0.5653,0.4723,0.484,0.4872,0.5058,0.4896,0.5146,0.439,0.4593,0.4578,0.501,0.5013,0.5105,0.5079,0.5229,0.5017,0.4983,0.496,0.4961,0.5094,0.5075,0.5272,0.4496,0.4587,0.4534,0.53,0.528,0.5216,0.4717,0.4736,0.4871,0.545,0.5214,0.5408,0.5753,0.5613,0.6005,0.5757,0.5685,0.5755,0.4948,0.477,0.4702,0.5356,0.5297,0.5393,0.5407,0.5418,0.531,0.4678,0.4743,0.4782,0.5342,0.5507,0.5401,0.568,0.5731,0.5472,0.523,0.5177,0.5214,0.4956,0.4928,0.4761
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
"TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, T...",0.47,0.4058,0.5278,0.4046,0.3863,0.3505,0.5111,0.5726,0.6094,0.3953,0.3897,0.4293,0.3912,0.3943,0.4033,0.4141,0.3843,0.3993,0.3857,0.3814,0.3886,0.4162,0.3842,0.3901,0.3499,0.3453,0.3344,0.373,0.3586,0.3782,0.3944,0.3911,0.3984,0.4182,0.3884,0.3925,0.4108,0.3968,0.3919,0.3615,0.3526,0.3617,0.3889,0.3617,0.374,0.5007,0.4755,0.506,0.5072,0.4845,0.5115,0.4022,0.3812,0.4054,0.4328,0.414,0.4144,0.4441,0.4277,0.4197,0.4042,0.4014,0.3768,0.3862,0.3925,0.373,0.4366,0.4276,0.3885,0.3868,0.3594,0.3622,0.4291,0.4151,0.4156
"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, Mon...",0.4324,0.3793,0.439,0.4546,0.362,0.3494,0.5812,0.5461,0.5631,0.437,0.4376,0.4526,0.3788,0.3878,0.3906,0.4002,0.3801,0.3976,0.3863,0.3812,0.4002,0.4285,0.406,0.399,0.3524,0.3414,0.3268,0.3876,0.3993,0.4036,0.4064,0.4106,0.4258,0.427,0.4078,0.3969,0.3728,0.356,0.3713,0.3564,0.3559,0.3866,0.3886,0.3879,0.3935,0.463,0.4539,0.459,0.4439,0.4498,0.4492,0.4087,0.41,0.4302,0.4294,0.4426,0.4368,0.3965,0.385,0.3955,0.3526,0.3626,0.3383,0.4124,0.4225,0.4203,0.4515,0.4296,0.4272,0.3896,0.3786,0.3946,0.3528,0.3465,0.3603
"Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2...",0.3826,0.3641,0.4464,0.3354,0.3965,0.3143,0.2879,0.4184,0.3611,0.3898,0.4097,0.4053,0.4207,0.449,0.4356,0.4448,0.437,0.4256,0.3939,0.4072,0.408,0.4375,0.4251,0.4309,0.3636,0.3782,0.3642,0.4457,0.4359,0.4167,0.388,0.3886,0.3791,0.4504,0.4477,0.4656,0.4117,0.4367,0.3969,0.4495,0.4607,0.4336,0.4028,0.3911,0.385,0.3935,0.3891,0.395,0.4739,0.4503,0.4501,0.454,0.4377,0.4301,0.4058,0.4071,0.3767,0.4383,0.4555,0.4202,0.3314,0.3408,0.3025,0.4314,0.4409,0.3961,0.457,0.4655,0.4005,0.4732,0.4528,0.4316,0.408,0.4143,0.3746
"â¢ Operating Systems: Windows â¢ Others: MS Excel, MS Office, MS Power Point Key Projects Handled ...",0.5451,0.5354,0.5684,0.5008,0.4632,0.4157,0.5893,0.6056,0.66,0.5309,0.5359,0.5653,0.4723,0.484,0.4872,0.5058,0.4896,0.5146,0.439,0.4593,0.4578,0.501,0.5013,0.5105,0.5079,0.5229,0.5017,0.4983,0.496,0.4961,0.5094,0.5075,0.5272,0.4496,0.4587,0.4534,0.53,0.528,0.5216,0.4717,0.4736,0.4871,0.545,0.5214,0.5408,0.5753,0.5613,0.6005,0.5757,0.5685,0.5755,0.4948,0.477,0.4702,0.5356,0.5297,0.5393,0.5407,0.5418,0.531,0.4678,0.4743,0.4782,0.5342,0.5507,0.5401,0.568,0.5731,0.5472,0.523,0.5177,0.5214,0.4956,0.4928,0.4761
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
"TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, T...",0.47,0.4058,0.5278,0.4046,0.3863,0.3505,0.5111,0.5726,0.6094,0.3953,0.3897,0.4293,0.3912,0.3943,0.4033,0.4141,0.3843,0.3993,0.3857,0.3814,0.3886,0.4162,0.3842,0.3901,0.3499,0.3453,0.3344,0.373,0.3586,0.3782,0.3944,0.3911,0.3984,0.4182,0.3884,0.3925,0.4108,0.3968,0.3919,0.3615,0.3526,0.3617,0.3889,0.3617,0.374,0.5007,0.4755,0.506,0.5072,0.4845,0.5115,0.4022,0.3812,0.4054,0.4328,0.414,0.4144,0.4441,0.4277,0.4197,0.4042,0.4014,0.3768,0.3862,0.3925,0.373,0.4366,0.4276,0.3885,0.3868,0.3594,0.3622,0.4291,0.4151,0.4156
"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, Mon...",0.4324,0.3793,0.439,0.4546,0.362,0.3494,0.5812,0.5461,0.5631,0.437,0.4376,0.4526,0.3788,0.3878,0.3906,0.4002,0.3801,0.3976,0.3863,0.3812,0.4002,0.4285,0.406,0.399,0.3524,0.3414,0.3268,0.3876,0.3993,0.4036,0.4064,0.4106,0.4258,0.427,0.4078,0.3969,0.3728,0.356,0.3713,0.3564,0.3559,0.3866,0.3886,0.3879,0.3935,0.463,0.4539,0.459,0.4439,0.4498,0.4492,0.4087,0.41,0.4302,0.4294,0.4426,0.4368,0.3965,0.385,0.3955,0.3526,0.3626,0.3383,0.4124,0.4225,0.4203,0.4515,0.4296,0.4272,0.3896,0.3786,0.3946,0.3528,0.3465,0.3603
"Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2...",0.3826,0.3641,0.4464,0.3354,0.3965,0.3143,0.2879,0.4184,0.3611,0.3898,0.4097,0.4053,0.4207,0.449,0.4356,0.4448,0.437,0.4256,0.3939,0.4072,0.408,0.4375,0.4251,0.4309,0.3636,0.3782,0.3642,0.4457,0.4359,0.4167,0.388,0.3886,0.3791,0.4504,0.4477,0.4656,0.4117,0.4367,0.3969,0.4495,0.4607,0.4336,0.4028,0.3911,0.385,0.3935,0.3891,0.395,0.4739,0.4503,0.4501,0.454,0.4377,0.4301,0.4058,0.4071,0.3767,0.4383,0.4555,0.4202,0.3314,0.3408,0.3025,0.4314,0.4409,0.3961,0.457,0.4655,0.4005,0.4732,0.4528,0.4316,0.408,0.4143,0.3746
"â¢ Operating Systems: Windows â¢ Others: MS Excel, MS Office, MS Power Point Key Projects Handled ...",0.5451,0.5354,0.5684,0.5008,0.4632,0.4157,0.5893,0.6056,0.66,0.5309,0.5359,0.5653,0.4723,0.484,0.4872,0.5058,0.4896,0.5146,0.439,0.4593,0.4578,0.501,0.5013,0.5105,0.5079,0.5229,0.5017,0.4983,0.496,0.4961,0.5094,0.5075,0.5272,0.4496,0.4587,0.4534,0.53,0.528,0.5216,0.4717,0.4736,0.4871,0.545,0.5214,0.5408,0.5753,0.5613,0.6005,0.5757,0.5685,0.5755,0.4948,0.477,0.4702,0.5356,0.5297,0.5393,0.5407,0.5418,0.531,0.4678,0.4743,0.4782,0.5342,0.5507,0.5401,0.568,0.5731,0.5472,0.523,0.5177,0.5214,0.4956,0.4928,0.4761
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
"TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, T...",0.47,0.4058,0.5278,0.4046,0.3863,0.3505,0.5111,0.5726,0.6094,0.3953,0.3897,0.4293,0.3912,0.3943,0.4033,0.4141,0.3843,0.3993,0.3857,0.3814,0.3886,0.4162,0.3842,0.3901,0.3499,0.3453,0.3344,0.373,0.3586,0.3782,0.3944,0.3911,0.3984,0.4182,0.3884,0.3925,0.4108,0.3968,0.3919,0.3615,0.3526,0.3617,0.3889,0.3617,0.374,0.5007,0.4755,0.506,0.5072,0.4845,0.5115,0.4022,0.3812,0.4054,0.4328,0.414,0.4144,0.4441,0.4277,0.4197,0.4042,0.4014,0.3768,0.3862,0.3925,0.373,0.4366,0.4276,0.3885,0.3868,0.3594,0.3622,0.4291,0.4151,0.4156
"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, Mon...",0.4324,0.3793,0.439,0.4546,0.362,0.3494,0.5812,0.5461,0.5631,0.437,0.4376,0.4526,0.3788,0.3878,0.3906,0.4002,0.3801,0.3976,0.3863,0.3812,0.4002,0.4285,0.406,0.399,0.3524,0.3414,0.3268,0.3876,0.3993,0.4036,0.4064,0.4106,0.4258,0.427,0.4078,0.3969,0.3728,0.356,0.3713,0.3564,0.3559,0.3866,0.3886,0.3879,0.3935,0.463,0.4539,0.459,0.4439,0.4498,0.4492,0.4087,0.41,0.4302,0.4294,0.4426,0.4368,0.3965,0.385,0.3955,0.3526,0.3626,0.3383,0.4124,0.4225,0.4203,0.4515,0.4296,0.4272,0.3896,0.3786,0.3946,0.3528,0.3465,0.3603
"Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2...",0.3826,0.3641,0.4464,0.3354,0.3965,0.3143,0.2879,0.4184,0.3611,0.3898,0.4097,0.4053,0.4207,0.449,0.4356,0.4448,0.437,0.4256,0.3939,0.4072,0.408,0.4375,0.4251,0.4309,0.3636,0.3782,0.3642,0.4457,0.4359,0.4167,0.388,0.3886,0.3791,0.4504,0.4477,0.4656,0.4117,0.4367,0.3969,0.4495,0.4607,0.4336,0.4028,0.3911,0.385,0.3935,0.3891,0.395,0.4739,0.4503,0.4501,0.454,0.4377,0.4301,0.4058,0.4071,0.3767,0.4383,0.4555,0.4202,0.3314,0.3408,0.3025,0.4314,0.4409,0.3961,0.457,0.4655,0.4005,0.4732,0.4528,0.4316,0.408,0.4143,0.3746
"â¢ Operating Systems: Windows â¢ Others: MS Excel, MS Office, MS Power Point Key Projects Handled ...",0.5451,0.5354,0.5684,0.5008,0.4632,0.4157,0.5893,0.6056,0.66,0.5309,0.5359,0.5653,0.4723,0.484,0.4872,0.5058,0.4896,0.5146,0.439,0.4593,0.4578,0.501,0.5013,0.5105,0.5079,0.5229,0.5017,0.4983,0.496,0.4961,0.5094,0.5075,0.5272,0.4496,0.4587,0.4534,0.53,0.528,0.5216,0.4717,0.4736,0.4871,0.545,0.5214,0.5408,0.5753,0.5613,0.6005,0.5757,0.5685,0.5755,0.4948,0.477,0.4702,0.5356,0.5297,0.5393,0.5407,0.5418,0.531,0.4678,0.4743,0.4782,0.5342,0.5507,0.5401,0.568,0.5731,0.5472,0.523,0.5177,0.5214,0.4956,0.4928,0.4761
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
"TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, T...",0.47,0.4058,0.5278,0.4046,0.3863,0.3505,0.5111,0.5726,0.6094,0.3953,0.3897,0.4293,0.3912,0.3943,0.4033,0.4141,0.3843,0.3993,0.3857,0.3814,0.3886,0.4162,0.3842,0.3901,0.3499,0.3453,0.3344,0.373,0.3586,0.3782,0.3944,0.3911,0.3984,0.4182,0.3884,0.3925,0.4108,0.3968,0.3919,0.3615,0.3526,0.3617,0.3889,0.3617,0.374,0.5007,0.4755,0.506,0.5072,0.4845,0.5115,0.4022,0.3812,0.4054,0.4328,0.414,0.4144,0.4441,0.4277,0.4197,0.4042,0.4014,0.3768,0.3862,0.3925,0.373,0.4366,0.4276,0.3885,0.3868,0.3594,0.3622,0.4291,0.4151,0.4156
"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, Mon...",0.4324,0.3793,0.439,0.4546,0.362,0.3494,0.5812,0.5461,0.5631,0.437,0.4376,0.4526,0.3788,0.3878,0.3906,0.4002,0.3801,0.3976,0.3863,0.3812,0.4002,0.4285,0.406,0.399,0.3524,0.3414,0.3268,0.3876,0.3993,0.4036,0.4064,0.4106,0.4258,0.427,0.4078,0.3969,0.3728,0.356,0.3713,0.3564,0.3559,0.3866,0.3886,0.3879,0.3935,0.463,0.4539,0.459,0.4439,0.4498,0.4492,0.4087,0.41,0.4302,0.4294,0.4426,0.4368,0.3965,0.385,0.3955,0.3526,0.3626,0.3383,0.4124,0.4225,0.4203,0.4515,0.4296,0.4272,0.3896,0.3786,0.3946,0.3528,0.3465,0.3603
"Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2...",0.3826,0.3641,0.4464,0.3354,0.3965,0.3143,0.2879,0.4184,0.3611,0.3898,0.4097,0.4053,0.4207,0.449,0.4356,0.4448,0.437,0.4256,0.3939,0.4072,0.408,0.4375,0.4251,0.4309,0.3636,0.3782,0.3642,0.4457,0.4359,0.4167,0.388,0.3886,0.3791,0.4504,0.4477,0.4656,0.4117,0.4367,0.3969,0.4495,0.4607,0.4336,0.4028,0.3911,0.385,0.3935,0.3891,0.395,0.4739,0.4503,0.4501,0.454,0.4377,0.4301,0.4058,0.4071,0.3767,0.4383,0.4555,0.4202,0.3314,0.3408,0.3025,0.4314,0.4409,0.3961,0.457,0.4655,0.4005,0.4732,0.4528,0.4316,0.408,0.4143,0.3746
"â¢ Operating Systems: Windows â¢ Others: MS Excel, MS Office, MS Power Point Key Projects Handled ...",0.5451,0.5354,0.5684,0.5008,0.4632,0.4157,0.5893,0.6056,0.66,0.5309,0.5359,0.5653,0.4723,0.484,0.4872,0.5058,0.4896,0.5146,0.439,0.4593,0.4578,0.501,0.5013,0.5105,0.5079,0.5229,0.5017,0.4983,0.496,0.4961,0.5094,0.5075,0.5272,0.4496,0.4587,0.4534,0.53,0.528,0.5216,0.4717,0.4736,0.4871,0.545,0.5214,0.5408,0.5753,0.5613,0.6005,0.5757,0.5685,0.5755,0.4948,0.477,0.4702,0.5356,0.5297,0.5393,0.5407,0.5418,0.531,0.4678,0.4743,0.4782,0.5342,0.5507,0.5401,0.568,0.5731,0.5472,0.523,0.5177,0.5214,0.4956,0.4928,0.4761
Technical Skills / Responsibilities: â¢ Hands on Experience with Production and Maintenance of Proj...,0.5552,0.5272,0.5688,0.5354,0.55,0.4772,0.5521,0.6285,0.5686,0.5702,0.5614,0.5635,0.5308,0.5322,0.531,0.5511,0.5189,0.5289,0.5247,0.528,0.5192,0.5463,0.5355,0.5227,0.4743,0.474,0.4513,0.541,0.5338,0.5217,0.567,0.5552,0.5629,0.5341,0.5374,0.5205,0.5518,0.5285,0.531,0.5077,0.5007,0.511,0.5518,0.5325,0.5393,0.5922,0.573,0.5814,0.5759,0.5803,0.5485,0.5397,0.5308,0.5181,0.5719,0.5722,0.5595,0.5963,0.5779,0.5773,0.4656,0.466,0.4448,0.5531,0.5571,0.5325,0.6104,0.5876,0.5713,0.5675,0.5464,0.5392,0.5473,0.5298,0.5074
"Education Details 
June 2013 to June 2016 Diploma Computer science Pune, Maharashtra Aissms
June 2...",0.3886,0.3642,0.5416,0.4488,0.4585,0.3516,0.4758,0.589,0.6492,0.4214,0.4294,0.4863,0.5078,0.5262,0.5256,0.476,0.4548,0.4764,0.4605,0.4792,0.4744,0.4904,0.4585,0.4708,0.4048,0.4004,0.4074,0.4241,0.4116,0.4492,0.4466,0.4617,0.4653,0.4932,0.4653,0.4745,0.4482,0.4466,0.4361,0.366,0.3674,0.394,0.4566,0.4244,0.443,0.4195,0.4071,0.4473,0.5019,0.4819,0.5459,0.4591,0.4702,0.504,0.4838,0.4703,0.4701,0.4995,0.4804,0.4814,0.4432,0.4446,0.4187,0.4355,0.4437,0.449,0.4684,0.477,0.4392,0.455,0.4208,0.4342,0.4835,0.4967,0.5052
